Match_Type,God_Name,Kills,Deaths,Assists,Item1,Item2,Item3,Item4,Item5,Item6,Class,Health,Mana,Speed,Physical_Protection,Magical_Protection
Joust,Ra,1,14,11,,,,,,,Mage,0.0,0.5714285714285714,0.10000000000000003,0.2142857142857143,0.5
Joust,Hel,0,8,3,,,,,,,Mage,0.0357142857142857,0.7,0.0,0.11904761904761907,0.5
Joust,Jing_Wei,2,10,3,,,,,,,Hunter,0.2857142857142857,0.4285714285714286,0.5,0.2619047619047619,0.5
Conquest,Medusa,14,11,7,,,,,,,Hunter,0.4642857142857143,0.4714285714285714,0.30000000000000004,0.35714285714285715,0.5
Conquest,Athena,3,9,10,,,,,,,Guardian,0.6785714285714286,0.3857142857142857,0.30000000000000004,0.8809523809523809,1.0
Conquest,Athena,1,7,1,,,,,,,Guardian,0.6785714285714286,0.3857142857142857,0.30000000000000004,0.8809523809523809,1.0
Conquest,Tyr,7,11,11,,,,,,,Warrior,0.5714285714285714,0.5,0.7000000000000001,0.7380952380952381,0.75
Conquest,Medusa,5,16,8,,,,,,,Hunter,0.4642857142857143,0.4714285714285714,0.30000000000000004,0.35714285714285715,0.5
Joust,Charybdis,3,6,6,,,,,,,Hunter,0.25,0.4714285714285714,0.30000000000000004,0.2619047619047619,0.5
Joust,Charybdis,7,10,9,,,,,,,Hunter,0.25,0.4714285714285714,0.30000000000000004,0.2619047619047619,0.5
Joust,Charybdis,1,9,4,,,,,,,Hunter,0.25,0.4714285714285714,0.30000000000000004,0.2619047619047619,0.5
Joust,Charybdis,0,8,1,,,,,,,Hunter,0.25,0.4714285714285714,0.30000000000000004,0.2619047619047619,0.5
Joust,Charybdis,2,12,2,,,,,,,Hunter,0.25,0.4714285714285714,0.30000000000000004,0.2619047619047619,0.5
Arena,Charybdis,2,10,3,,,,,,,Hunter,0.25,0.4714285714285714,0.30000000000000004,0.2619047619047619,0.5
Joust,Tyr,3,4,8,,,,,,,Warrior,0.5714285714285714,0.5,0.7000000000000001,0.7380952380952381,0.75
Conquest,Medusa,11,12,6,,,,,,,Hunter,0.4642857142857143,0.4714285714285714,0.30000000000000004,0.35714285714285715,0.5
Conquest,Cabrakan,5,8,11,,,,,,,Guardian,0.6071428571428571,0.41428571428571426,0.30000000000000004,0.8809523809523809,1.0
Conquest,Hades,3,3,4,,,,,,,Mage,0.5,0.6,0.30000000000000004,0.7380952380952381,0.5
Conquest,Susano,11,9,8,,,,,,,Assassin,0.2142857142857143,0.48571428571428577,0.5,0.5,0.5
Arena,Ra,4,11,9,,,,,,,Mage,0.0,0.5714285714285714,0.10000000000000003,0.2142857142857143,0.5
Joust,Medusa,5,11,5,,,,,,,Hunter,0.4642857142857143,0.4714285714285714,0.30000000000000004,0.35714285714285715,0.5
Joust,Ares,3,8,7,,,,,,,Guardian,0.5714285714285714,0.41428571428571426,0.30000000000000004,0.8809523809523809,1.0
Joust,Chiron,1,10,8,,,,,,,Hunter,0.3928571428571429,0.48571428571428577,0.9,0.35714285714285715,0.5
Joust,Ix_Chel,8,8,6,,,,,,,Mage,0.0,0.7,0.10000000000000003,0.35714285714285715,0.5
Joust,Achilles,7,5,3,,,,,,,Warrior,0.5,0.4285714285714286,0.5,0.6904761904761905,0.75
Joust,Achilles,10,5,5,,,,,,,Warrior,0.5,0.4285714285714286,0.5,0.6904761904761905,0.75
Joust,Medusa,9,9,4,,,,,,,Hunter,0.4642857142857143,0.4714285714285714,0.30000000000000004,0.35714285714285715,0.5
Arena,Tyr,4,6,15,,,,,,,Warrior,0.5714285714285714,0.5,0.7000000000000001,0.7380952380952381,0.75
Arena,Ix_Chel,3,4,19,,,,,,,Mage,0.0,0.7,0.10000000000000003,0.35714285714285715,0.5
Arena,Ra,4,5,21,,,,,,,Mage,0.0,0.5714285714285714,0.10000000000000003,0.2142857142857143,0.5
Joust,Ra,2,10,10,,,,,,,Mage,0.0,0.5714285714285714,0.10000000000000003,0.2142857142857143,0.5
Joust,Tyr,4,8,3,,,,,,,Warrior,0.5714285714285714,0.5,0.7000000000000001,0.7380952380952381,0.75
Slash,Tyr,2,8,3,,,,,,,Warrior,0.5714285714285714,0.5,0.7000000000000001,0.7380952380952381,0.75
Joust,Bake_Kujira,2,1,6,,,,,,,Guardian,0.6785714285714286,0.41428571428571426,0.5,1.0,1.0
Conquest,Arachne,13,15,12,,,,,,,Assassin,0.2857142857142857,0.44285714285714284,0.7000000000000001,0.40476190476190477,0.5
Joust,Tyr,4,4,8,,,,,,,Warrior,0.5714285714285714,0.5,0.7000000000000001,0.7380952380952381,0.75
Joust,Izanami,1,10,5,,,,,,,Hunter,0.3214285714285714,0.44285714285714284,0.30000000000000004,0.2619047619047619,0.5
Arena,Bake_Kujira,4,6,9,,,,,,,Guardian,0.6785714285714286,0.41428571428571426,0.5,1.0,1.0
Joust,Bake_Kujira,2,6,1,,,,,,,Guardian,0.6785714285714286,0.41428571428571426,0.5,1.0,1.0
Joust,Bake_Kujira,3,8,1,,,,,,,Guardian,0.6785714285714286,0.41428571428571426,0.5,1.0,1.0
Joust,Serqet,13,9,3,,,,,,,Assassin,0.0,0.5285714285714286,0.5,0.5,0.5
Joust,Tyr,4,1,4,,,,,,,Warrior,0.5714285714285714,0.5,0.7000000000000001,0.7380952380952381,0.75
Joust,Serqet,4,7,3,,,,,,,Assassin,0.0,0.5285714285714286,0.5,0.5,0.5
Joust,Neith,8,0,4,,,,,,,Hunter,0.37244897959183676,0.5,0.30000000000000004,0.35714285714285715,0.5
Joust,Chernobog,6,4,4,,,,,,,Hunter,0.3214285714285714,0.4714285714285714,0.30000000000000004,0.2619047619047619,0.5
Joust,Ra,4,9,1,,,,,,,Mage,0.0,0.5714285714285714,0.10000000000000003,0.2142857142857143,0.5
Joust,Cabrakan,4,2,9,,,,,,,Guardian,0.6071428571428571,0.41428571428571426,0.30000000000000004,0.8809523809523809,1.0
Joust,Cabrakan,4,10,16,,,,,,,Guardian,0.6071428571428571,0.41428571428571426,0.30000000000000004,0.8809523809523809,1.0
Arena,Ix_Chel,3,10,27,,,,,,,Mage,0.0,0.7,0.10000000000000003,0.35714285714285715,0.5
